Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,114.52046444599847,115.02689327108843,113.42400190530073,113.78258526229443,5251758.304853688,0.009031580012132421,0.0
2020-01-03,113.2511866898812,114.33364129924233,112.83301130523279,113.56026934651031,4662127.067204012,0.0,0.0
2020-01-06,113.25648361218316,114.08491954809115,112.71660275391493,113.80044694120228,5712493.664311312,0.0,0.0
2020-01-07,113.47976431011047,113.87205737398754,112.53002219766213,113.02729661096548,5116857.951498742,0.002767911120034829,0.0
2020-01-08,113.09797139797675,114.19023755056479,112.60888224366195,113.59364401789155,5096590.607918347,0.0,0.0
2020-01-09,114.1573772099369,115.1239998604748,113.5818712049614,114.63895902070402,5665108.443222717,0.010169830940246437,0.0
2020-01-10,114.81126855758998,115.18161206246367,113.8241805673528,114.28623598228904,4901558.144266324,0.003595236300208608,0.0
2020-01-13,114.2928474148462,115.39973884659844,113.89611325628047,114.9855251345391,5523648.323098761,0.0,0.0
2020-01-14,114.80194561512207,115.46837620081318,114.3582586113782,115.1390458624335,5858201.393136682,0.0,0.0
2020-01-15,114.70438724101257,116.07549440871253,114.55751613252572,115.62673523759474,5960269.999143357,0.0,0.0
2020-01-16,115.81784911123063,116.45756419935292,115.40279330434566,116.07776335250522,4475089.261058062,0.0,0.0
2020-01-17,116.2819518320403,116.95311710241617,115.716190577421,116.412668217944,6936389.421952733,0.0,0.0
2020-01-21,116.14240581375265,117.58049675568954,115.67012516285638,117.39836344618307,6039632.078062438,0.0,0.0
2020-01-22,117.29028130052424,118.0840025320556,116.62735681493236,117.33989866393287,4971038.175295428,0.01639689538217638,0.0
2020-01-23,116.91946634035706,117.83832684514978,116.08487204875877,117.13725578268834,4623248.651534023,0.0,0.0
2020-01-24,117.38290507019698,117.60852047747024,115.66524999300572,116.12880045031937,4134251.973820386,0.0,0.0
2020-01-27,114.546416714441,116.55695309121383,114.07691943873992,115.71431980528348,5627632.254093255,0.0,0.0
2020-01-28,115.73517527029009,116.5146486547718,115.19044610509508,115.88384492635615,5155818.194310006,0.01604147547054029,0.0
2020-01-29,115.92015793817461,116.46150777320034,115.14438688035801,115.43356834883362,4438054.815756861,0.0,0.0
2020-01-30,115.38335019446728,116.46324173966751,114.58283914814602,116.21896879327763,6181331.585327816,0.003411086590798312,0.0
2020-01-31,116.10749184087888,116.74173554963724,114.38190638070775,114.799276514118,7056228.932352596,0.0,0.0
2020-02-03,115.23224842695699,116.02447837596885,114.13736809059034,114.5063007551664,5071243.107933712,0.0,0.0
2020-02-04,115.34123679136094,116.31657360996296,114.66278527168284,115.36314780453735,5524364.414926002,0.0,0.0
2020-02-05,115.85773281167559,116.8772947406948,115.21264631342211,116.3954206106077,5272892.560884135,0.0,0.0
2020-02-06,116.95859740421182,118.03863763021596,116.13596380678979,117.0224142479313,5021143.952406389,0.05704426607321262,0.0
2020-02-07,116.85953644181731,117.84755237763403,116.25825600448334,117.52384539825528,4126033.86426669,0.0,0.0
2020-02-10,117.42278669099602,118.5466914374101,116.89082355087983,117.64306436770758,4536220.088266834,0.0,0.0
2020-02-11,117.83416574270517,118.20119688722605,116.78801906412161,117.39671422375957,4452236.917107696,0.0,0.0
2020-02-12,117.51004122347209,118.53012835302101,117.02036598173012,118.00585820191563,4456325.644614153,0.005512928322810458,0.0
2020-02-13,117.88431924954442,119.28493132540927,117.23417249182982,118.84687617051321,4934352.2474129945,0.0031563287134259745,0.0
2020-02-14,119.0292923534796,119.59833357183754,118.36255464771062,119.05253456454801,5313025.889363255,0.00017973293562006154,0.0
2020-02-18,119.11765331837609,120.00551710697727,118.14675217682408,119.15705357153384,6521834.104906288,0.00832616861738937,0.0
2020-02-19,119.21251334204698,119.86852867874535,118.38890489934184,118.82312010353843,4264876.994153685,0.0,0.0
2020-02-20,118.5610118393973,119.27489035825779,117.60483344926041,118.71366480116176,3855743.227377141,0.01331460581199624,0.0
2020-02-21,118.318865604314,119.48867037370151,117.92721579322713,118.89105110908733,5247538.07090051,0.0,0.0
2020-02-24,117.07353462045687,118.49601335113836,115.5826568267769,116.01701809962576,6632887.63501723,0.0,0.0
2020-02-25,116.21485699335247,117.13106584187273,113.41145780008472,113.80122594900462,7106228.637899282,0.0,0.0
2020-02-26,114.44685661563494,115.57949416601781,113.15959763581876,113.55847003458014,6867860.017854016,0.0,0.0
2020-02-27,112.49714705774576,114.0145015545485,109.44134598020044,109.52501273009683,9279585.220668543,0.02752710486981671,0.0
2020-02-28,106.98944833488427,108.02249984959303,103.00077766167374,106.52598051313545,15574492.623632686,0.0,0.0
2020-03-02,107.94808019722554,113.92150538892452,107.29429713787667,113.69023539311245,11633544.87720117,0.00722600009117615,0.0
2020-03-03,113.78454538869953,115.73147464266624,110.85670240501403,111.67942081558189,10156069.234822515,0.0,0.0
2020-03-04,113.24845695575308,116.99861266995606,112.29049452377907,116.83200992551636,7951889.758963013,0.0,0.0
2020-03-05,114.66846058314434,117.1961233646022,113.46872204047962,114.93529798382009,7809614.46119915,0.13439104949470637,0.0
2020-03-06,112.08670015567931,115.6029779860673,110.54233930840383,114.48951258867595,8926903.369398365,0.0,0.0
2020-03-09,109.12286851674762,113.75062052486281,107.69237900571902,110.52530859664873,12686159.491050016,0.0,0.0
2020-03-10,112.3962226356928,114.13950654150446,108.20898302446591,113.50125182308129,10747941.764694724,0.0,0.0
2020-03-11,110.74471382816226,112.31879804866182,106.99195155674956,108.52874533073762,9267313.240410445,0.0,0.0
2020-03-12,101.44207084649025,105.80021099118687,97.74559766245126,99.13342594318948,14169508.452024365,0.008868295910149596,0.0
2020-03-13,103.29771170618322,108.10168812701762,98.84098968281093,107.49889376132211,13163964.840693174,0.0517245322174996,0.0
2020-03-16,98.07142418350217,105.23990305507178,95.7525007950608,99.3910724554944,11836867.143122165,0.0,0.0
2020-03-17,102.3763282964535,109.58081986804507,100.44376745361993,108.6491453325529,14375315.663761536,0.0,0.0
2020-03-18,104.22903203132891,111.98289734322702,100.37686357380849,106.74387424463707,17089876.77505015,0.0,0.0
2020-03-19,107.17956747321688,109.8498428228212,101.84858370150884,104.80440318114415,14560041.130883267,0.1205731275177171,0.0
2020-03-20,105.24043918413899,106.67788539195105,97.24550862114955,98.78841672833497,16761129.523202121,0.08562814766908647,0.0
2020-03-23,98.91201367664038,101.47385897869621,94.65252611751605,97.04964202197904,14708086.798692815,0.0,0.0
2020-03-24,100.14423048938208,102.96069222129003,97.00058885108763,100.14093777600014,14790730.7873987,0.03769691454027648,0.0
2020-03-25,99.4795798162526,103.22495556954365,96.95527878285773,99.32652749622603,14551099.30584951,0.0,0.0
2020-03-26,99.77761416189493,104.62026010261653,98.8080726727809,103.45654870992341,13773702.212007407,0.0,0.0
2020-03-27,101.89172707917528,104.97942071173033,100.29889349940825,101.7865649275821,9708270.35372478,0.0,0.0
2020-03-30,103.16881164262391,106.38525489931064,102.41688677804584,105.63159373476134,8892686.80134951,0.0,0.0
2020-03-31,104.85177659755539,106.33321175565466,102.74917339412528,103.55494847711788,9391580.747648187,0.0,0.0
2020-04-01,101.32232606299354,104.23221895591844,100.41620563963363,102.54269267939902,8445691.709103964,0.0,0.0
2020-04-02,101.59548146637798,106.25801163909699,100.8188127589724,105.27997002450208,7952126.92051656,0.009031580012132421,0.0
2020-04-03,104.5404622133758,106.66051063345004,103.57400246155058,105.66055778702456,6843076.397977553,0.0,0.0
2020-04-06,107.36372982232672,111.36305322801611,105.88309243798408,110.66755919792244,10294706.513560507,0.0,0.0
2020-04-07,111.26778020276882,112.88694415383864,108.98460331608123,109.47685917031721,9267272.029334739,0.0,0.0
