"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CLNE","Clean Energy Fuels Corp.","2.63","$522.56M","2007","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/clne",
"CLSK","CleanSpark, Inc.","9.97","$173.02M","n/a","Basic Industries","Electric Utilities: Central","https://old.nasdaq.com/symbol/clsk",
"CACG","ClearBridge All Cap Growth ETF","39.5002","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cacg",
"YLDE","ClearBridge Dividend Strategy ESG ETF","33.1241","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ylde",
"LRGE","ClearBridge Large Cap Growth ESG ETF","45.9756","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/lrge",
"CLFD","Clearfield, Inc.","21.1","$287.95M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/clfd",
"CLRO","ClearOne, Inc.","2.26","$37.64M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/clro",
"CLPT","ClearPoint Neuro Inc.","5.65","$88.88M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/clpt",
"CLSD","Clearside Biomedical, Inc.","1.66","$76.93M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/clsd",
"CLIR","ClearSign Technologies Corporation","2.51","$73.59M","2012","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/clir",
"CBLI","Cleveland BioLabs, Inc.","2.23","$29.03M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/cbli",
"CLVS","Clovis Oncology, Inc.","7.13","$628.89M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/clvs",
"CLPS","CLPS Incorporation","3.085","$49.1M","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/clps",
"CMLFU","CM Life Sciences, Inc.","10.72","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cmlfu",
"CME","CME Group Inc.","168.1","$60.29B","2002","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cme",
"CCNE","CNB Financial Corporation","15.45","$261.09M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ccne",
"CCNEP","CNB Financial Corporation","25.6254","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ccnep",
"CNSP","CNS Pharmaceuticals, Inc.","1.96","$32.24M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cnsp",
"CCB","Coastal Financial Corporation","15.35","$183.08M","2018","Finance","Major Banks","https://old.nasdaq.com/symbol/ccb",
"COKE","Coca-Cola Consolidated, Inc.","260.3","$2.44B","1972","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/coke",
"COCP","Cocrystal Pharma, Inc.","0.95","$65.14M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cocp",
"CODA","Coda Octopus Group, Inc.","5.93","$63.76M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/coda",
"CCNC","Code Chain New Continent Limited","1.0801","$32.61M","2015","Finance","Business Services","https://old.nasdaq.com/symbol/ccnc",
"CDXS","Codexis, Inc.","12.03","$711.3M","2010","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/cdxs",
"CODX","Co-Diagnostics, Inc.","12.49","$350.75M","2017","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/codx",
"CVLY","Codorus Valley Bancorp, Inc","12.96","$126.85M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/cvly",
"JVA","Coffee Holding Co., Inc.","3.36","$18.71M","2005","Consumer Non-Durables","Food Distributors","https://old.nasdaq.com/symbol/jva",
"CCOI","Cogent Communications Holdings, Inc.","66.56","$3.15B","n/a","Consumer Services","Telecommunications Equipment","https://old.nasdaq.com/symbol/ccoi",
"CGNX","Cognex Corporation","64.25","$11.12B","1989","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cgnx",
"CTSH","Cognizant Technology Solutions Corporation","70.13","$38.03B","1998","Technology","EDP Services","https://old.nasdaq.com/symbol/ctsh",
"CWBR","CohBar, Inc.","1.06","$61.44M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/cwbr",
"COHR","Coherent, Inc.","110.49","$2.68B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/cohr",
"CHRS","Coherus BioSciences, Inc.","18.71","$1.34B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/chrs",
"COHU","Cohu, Inc.","16.81","$703.72M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/cohu",
"CGRO","Collective Growth Corporation","9.8398","$187.08M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cgro",
"CGROU","Collective Growth Corporation","10.17","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cgrou",
"CGROW","Collective Growth Corporation","0.8","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cgrow",
"CLCT","Collectors Universe, Inc.","50.79","$469.3M","1999","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/clct",
"COLL","Collegium Pharmaceutical, Inc.","19.02","$656.68M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/coll",
"CIGI","Colliers International Group Inc. ","67.9","$2.72B","n/a","Finance","Real Estate","https://old.nasdaq.com/symbol/cigi",
"CLGN","CollPlant Biotechnologies Ltd.","8.93","$58.65M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clgn",
"CBAN","Colony Bankcorp, Inc.","10.47","$99.45M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cban",
"HHT","Color Star Technology Co. Ltd.","0.79","$29.82M","n/a","Basic Industries","Engineering & Construction","https://old.nasdaq.com/symbol/hht",
"COLB","Columbia Banking System, Inc.","25.87","$1.85B","1992","Finance","Major Banks","https://old.nasdaq.com/symbol/colb",
"CLBK","Columbia Financial, Inc.","11.17","$1.29B","2018","Finance","Savings Institutions","https://old.nasdaq.com/symbol/clbk",
"COLM","Columbia Sportswear Company","92.28","$6.1B","1998","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/colm",
